Week,SearchTrends,Quarterly Revenue (Billions),Closing Price,SMP Close,article_count,comp_sentiment,pos_ratio,neg_ratio
2020-11-27,64,6.2,98.66,3662.449951171875,,,,
2020-12-04,55,6.2,102.28,3702.25,,,,
2020-12-11,56,6.2,103.0,3694.6201171875,1.0,0.0,0.0,0.0
2020-12-18,55,6.2,103.28,3687.260009765625,,,,
2021-01-08,54,6.7,105.67,3801.18994140625,,,,
2021-01-15,50,6.7,102.33,3798.909912109375,,,,
2021-01-22,40,6.7,103.91,3849.6201171875,,,,
2021-01-29,46,6.7,96.81,3826.31005859375,2.0,0.26335,0.0835,0.0
2021-02-05,47,6.7,106.48,3911.22998046875,,,,
2021-02-12,44,6.7,105.3,3932.590087890625,,,,
2021-02-19,48,6.7,103.37,3881.3701171875,,,,
2021-02-26,46,6.7,108.03,3870.2900390625,,,,
2021-03-05,55,6.7,105.2,3875.43994140625,1.0,0.0,0.0,0.0
2021-03-12,52,6.7,107.81,3962.7099609375,,,,
2021-03-19,51,6.7,106.34,3910.52001953125,,,,
2021-03-26,51,6.7,109.9,3958.550048828125,,,,
2021-04-09,56,6.7,113.18,4141.58984375,1.0,-0.3818,0.0,0.093
2021-04-16,50,6.7,118.34,4134.93994140625,1.0,0.5927,0.139,0.0
2021-04-23,49,6.7,117.56,4186.72021484375,,,,
2021-04-30,50,6.7,114.49,4164.66015625,1.0,0.6249,0.164,0.0
2021-05-07,51,6.7,114.34,4152.10009765625,,,,
2021-05-14,54,6.7,111.2,4127.830078125,,,,
2021-05-21,52,6.7,110.92,4188.1298828125,,,,
2021-05-28,53,6.7,113.88,4202.0400390625,,,,
2021-06-04,56,6.7,111.99,4227.259765625,,,,
2021-06-11,49,6.7,112.56,4246.58984375,1.0,-0.3818,0.071071071071071,0.1631631631631631
2021-06-18,53,6.7,109.7,4246.43994140625,,,,
2021-06-25,53,6.7,113.04,4291.7998046875,,,,
2021-07-02,49,6.7,114.97,4343.5400390625,,,,
